"timestep","group0_trust_in_sp0.mean","group0_trust_in_sp0.sd","group0_trust_in_sp1.mean","group0_trust_in_sp1.sd","group0_trust_in_sp2.mean","group0_trust_in_sp2.sd","group1_trust_in_sp0.mean","group1_trust_in_sp0.sd","group1_trust_in_sp1.mean","group1_trust_in_sp1.sd","group1_trust_in_sp2.mean","group1_trust_in_sp2.sd","group2_trust_in_sp0.mean","group2_trust_in_sp0.sd","group2_trust_in_sp1.mean","group2_trust_in_sp1.sd","group2_trust_in_sp2.mean","group2_trust_in_sp2.sd","group3_trust_in_sp0.mean","group3_trust_in_sp0.sd","group3_trust_in_sp1.mean","group3_trust_in_sp1.sd","group3_trust_in_sp2.mean","group3_trust_in_sp2.sd"
394,0.645829513246271,0.0418061913716624,0.504087428107094,0.00356501320893782,0.671252082865966,0.0626446974299426,0.51239744325906,0.0100405346362847,0.792044627567232,0.101793414115075,0.514899384883025,0.0107500996556802,0.644797372300485,0.0392598250661851,0.503846532718716,0.0029534452055272,0.673335723555062,0.0608178594151856,0.514751553070403,0.00919298738958269,0.794337415485281,0.106275485542222,0.513780427723549,0.00716190439839743
395,0.643502229308836,0.0444319847354153,0.504114205173969,0.00387458658877628,0.669699242141846,0.06431453241824,0.514174378337294,0.0133163004170434,0.792821752837504,0.099505389005312,0.51434767996638,0.0114500959101869,0.641844915996845,0.0411662321425028,0.505828364152868,0.00463404410064106,0.67044953394188,0.0628680700811533,0.514736722186572,0.0119876994954012,0.794986855034596,0.102289428688911,0.513749421898527,0.00711761557992819
396,0.641510301839852,0.0472541457733574,0.504386336765935,0.00407592134836033,0.668516525852624,0.0654088361042024,0.51334465586564,0.00995908410538899,0.78998219921208,0.0978656739790651,0.514580187305753,0.0105273414374095,0.640141935151291,0.0436914311174854,0.504594196595926,0.00369016449243511,0.670166854815722,0.0652673962351819,0.51437978227979,0.0112897310357392,0.7955898161378,0.0990212983384978,0.514274685440293,0.00818465038956852
397,0.640166833590041,0.0492924065280397,0.504486531352885,0.00365478068992893,0.667707419110051,0.0654169151329302,0.513333340087723,0.0117303096155584,0.791308783374824,0.0983331594262085,0.513145769850688,0.0102751236509969,0.638863881829749,0.0458466000787466,0.504488040921057,0.00333585777174693,0.669308033183418,0.0665132213317991,0.515371083665377,0.0101232037533197,0.792622162068433,0.0967429454647212,0.513831122693654,0.0106264828804198
398,0.640272151818352,0.0499516319736109,0.50392494962405,0.00292132851199335,0.667624645201045,0.0653633245234403,0.513075412401363,0.0115039110088204,0.790389698078559,0.0998711302901302,0.513219993576788,0.0103288111139428,0.638532785407621,0.0458763569416631,0.504408310412506,0.00343345315010464,0.669027895492132,0.0679243246110252,0.515241816926142,0.012054146816175,0.79392933195123,0.0961914063660971,0.513373757248498,0.00840393930051305
399,0.639974561278856,0.0491240179219301,0.504422295717962,0.0037187662442196,0.667089752588177,0.0644699949826612,0.51269008813977,0.0110860644021165,0.790168037400191,0.0990140042513994,0.513018485849931,0.00963097982780335,0.639031174460566,0.0453870892388147,0.50577713924677,0.00431981823218688,0.667994731394359,0.0672002213066623,0.513598643628599,0.0128969479374226,0.790172581649455,0.0965219449814069,0.514302589298904,0.0132176347503554
400,0.641116500744154,0.0482212891141189,0.503981675160212,0.00332939824517539,0.667815480301838,0.0640254754532025,0.513260893712173,0.0109623279290481,0.791562925735916,0.0990154448120579,0.51270339108678,0.0094725671903821,0.640451045364551,0.0446367424661951,0.504486870492566,0.00333347763451619,0.669462624954525,0.0665685531920788,0.511941567217838,0.0114893155070815,0.794540091492687,0.096916885790631,0.514093132149353,0.00895321902019612
401,0.641127748198761,0.0468138271400457,0.504048190573394,0.00351290798585235,0.668945062969428,0.0627877398387197,0.512790725870998,0.0102085498941341,0.792107154407698,0.093409392905445,0.512480324543984,0.00905562677650766,0.640278209050362,0.0426567599381266,0.504419405221931,0.00345069190354131,0.670643981255173,0.0657977129777724,0.512515250889559,0.0112620100298003,0.794870062427262,0.0943663172720186,0.514047949279909,0.00830491512760585
402,0.640584110163282,0.046945396529595,0.503681190272451,0.00262726299993803,0.669965063688297,0.061671890042289,0.512821732033767,0.00974210023670484,0.793142828256182,0.088042474396065,0.512400345745664,0.00909033137858704,0.638722027990809,0.042262244500354,0.504982356834526,0.00414334810121964,0.671336882780178,0.0643576746358837,0.513177715511299,0.0115910718442888,0.793019843357637,0.0918600087926603,0.513996540641857,0.00850455137772192
403,0.639924245103804,0.0474563780475255,0.503910701501494,0.00301935861352849,0.670984059554188,0.0608503161858892,0.513213758165613,0.0101835228290042,0.795020001949242,0.0844818805359316,0.512521294353669,0.00842837182328504,0.638264207847149,0.0431685772107699,0.505722960967293,0.00485660107547909,0.672015326214671,0.0634981181688654,0.512995615650057,0.0112835171205059,0.794126638486396,0.0918872099812075,0.513306275996664,0.00896234441821584
